*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=led_grid
*Date=01:02:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
382;;;98.7933;-11.0366;0;Bottom;Copper Fill457
383;;;36.1188;-139.408;0;Bottom;Copper Fill260
384;;;125.222;-44.8694;0;Bottom;Copper Fill172
385;;;36.068;-40.2466;0;Bottom;Copper Fill422
386;;;76.073;-59.3474;0;Bottom;Copper Fill385
387;;;156.107;-138.177;0;Bottom;Via24
388;;;136.83;-73.7492;0;Bottom;Copper Fill114
389;;5050;106.134;-118.819;0;Top;RGB SMD LED34
390;;;124.531;-89.6975;0;Bottom;Via364
391;;;57.5919;-109.325;0;Bottom;Via270
392;;;89.789;-20.841;0;Bottom;Copper Fill220
393;;;15.7389;-31.3641;0;Bottom;Via550
394;;5050;176.062;-108.777;0;Top;RGB SMD LED95
395;;;145.212;-54.0388;0;Bottom;Copper Fill163
396;;5050;86.0913;-88.8325;0;Top;RGB SMD LED149
397;;;74.4386;-89.4954;0;Bottom;Via427
398;;;146.863;-62.0652;0;Bottom;Copper Fill139
399;;;166.014;-59.2712;0;Bottom;Copper Fill394
400;;;126.873;-73.8;0;Bottom;Copper Fill112
401;;;67.7926;-119.516;0;Bottom;Via173
402;;;77.7282;-119.225;0;Bottom;Via163
403;;;9.73515;-49.3981;0;Bottom;Via558
404;;;54.5191;-89.544;0;Bottom;Via448
405;;;176.073;-109.36;0;Bottom;Copper Fill318
406;;;56.896;-82.2582;0;Bottom;Copper Fill100
407;;;176.936;-123.152;0;Bottom;Copper Fill35
408;;;76.9366;-123.584;0;Bottom;Copper Fill30
409;;;164.446;-40.2753;0;Bottom;Via18
410;;5050;156.134;-118.819;0;Top;RGB SMD LED53
411;;;134.449;-89.5259;0;Bottom;Via356
412;;5050;166.062;-108.777;0;Top;RGB SMD LED90
413;;;114.484;-89.4398;0;Bottom;Via379
414;;5050;66.0914;-78.8325;0;Top;RGB SMD LED131
415;;;157.68;-109.213;0;Bottom;Via211
416;;;47.4889;-14.1141;0;Bottom;Via580
417;;;36.0934;-129.324;0;Bottom;Copper Fill275
418;;;66.1376;-128.074;0;Bottom;Via169
419;;5050;116.139;-138.814;0;Top;RGB SMD LED10
420;;;8.76306;-39.489;0;Bottom;Via557
421;;;24.3763;-69.0527;0;Bottom;Via290
422;;;146.863;-35.4206;0;Bottom;Copper Fill196
423;;;66.04;-40.4752;0;Bottom;Copper Fill425
424;;;46.0276;-39.1566;0;Bottom;Via88
425;;;156.069;-49.3027;0;Bottom;Via490
426;;;193.739;-6.36406;0;Bottom;Hole1
427;;5050;146.139;-138.814;0;Top;RGB SMD LED13
428;;;56.896;-93.8406;0;Bottom;Copper Fill75
429;;;134.492;-79.3619;0;Bottom;Via353
430;;;126.111;-89.5226;0;Bottom;Copper Fill345
431;;;137.744;-31.5979;0;Bottom;Copper Fill250
432;;5050;126.062;-98.7774;0;Top;RGB SMD LED75
433;;;41.6941;-7.76;0;Bottom;Copper Fill447
434;;;136.423;-21.9078;0;Bottom;Copper Fill223
435;;;86.0476;-58.2754;0;Bottom;Via417
436;;;135.932;-49.2167;0;Bottom;Via496
437;;;46.863;-44.844;0;Bottom;Copper Fill175
438;;;57.6684;-139.305;0;Bottom;Via79
439;;;156.102;-98.2762;0;Bottom;Via212
440;;;25.9842;-59.4998;0;Bottom;Copper Fill380
441;;;74.5781;-119.516;0;Bottom;Via167
442;;5050;36.033;-39.8169;0;Top;RGB SMD LED20
443;;;137.598;-59.4057;0;Bottom;Via350
444;;;19.6977;-20.079;0;Bottom;Copper Fill231
445;;;165.329;-133.642;0;Bottom;Copper Fill14
